date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
1994-04-09,1227,1000,89500,89.5,89.5,89.5,89.5,5.5,1
1994-04-11,1227,3000,286500,95.5,95.5,95.5,95.5,6.0,3
1994-04-12,1227,43000,4386000,102.0,102.0,102.0,102.0,6.5,41
1994-04-13,1227,1898000,205639500,109.0,109.0,105.0,109.0,7.0,1527
1994-04-14,1227,1251260,139916320,108.0,114.5,107.0,113.0,4.0,854
1994-04-15,1227,803030,88699830,112.0,113.0,109.0,109.5,-3.5,595
1994-04-16,1227,503624,55329079,110.0,111.0,109.0,109.0,-0.5,372
1994-04-18,1227,493000,54284500,109.0,111.0,109.0,110.0,1.0,267
1994-04-19,1227,859964,97694112,110.0,117.0,110.0,112.5,2.5,597
1994-04-20,1227,451538,50253949,113.5,113.5,110.0,110.0,-2.5,297
1994-04-21,1227,252840,27863220,110.0,111.5,110.0,110.0,0.0,162
1994-04-22,1227,301000,33371500,110.5,112.0,110.0,112.0,2.0,209
1994-04-23,1227,354488,39426680,111.0,112.0,110.5,111.0,-1.0,183
1994-04-25,1227,468000,52420000,111.0,113.0,110.5,112.0,1.0,243
1994-04-26,1227,624136,67739960,112.0,112.0,106.5,110.0,-2.0,318
1994-04-27,1227,253056,27467548,111.0,111.0,107.0,108.0,-2.0,129
1994-04-28,1227,323000,35023000,107.0,110.0,107.0,108.0,0.0,172
1994-04-29,1227,280352,29931312,108.0,108.0,105.5,106.5,-1.5,147
1994-04-30,1227,158000,16519000,106.0,106.0,103.5,104.5,-2.0,117
1994-05-02,1227,213000,22271500,104.5,105.5,103.0,104.5,0.0,118
1994-05-03,1227,724000,78409000,105.5,110.0,105.0,107.0,2.5,340
1994-05-04,1227,394800,41796000,108.5,108.5,105.0,106.0,-1.0,212
1994-05-05,1227,245000,25940500,105.0,107.0,105.0,106.5,0.5,117
1994-05-06,1227,427136,45675212,108.0,108.0,106.0,107.5,1.0,146
1994-05-07,1227,329000,35444500,107.5,108.5,106.5,107.0,-0.5,113
